,activation,best_epoch,best_model_path,hp_unit_1,hp_unit_2,hp_unit_3,hp_unit_4,kernel_size_1,kernel_size_2,learning_rate,n_filter_1,n_filter_2,val_mae,val_mse
0,tanh,19,Models/CNN/model_CNN_22_10_15_22h59m49.h5,,,,,15,,0.01,7,,0.16032151877880096,0.04138552024960518
1,tanh,167,Models/CNN/model_CNN_22_10_15_23h05m10.h5,,,,,7,,0.01,11,,0.15577538311481476,0.0391453318297863
2,sigmoid,11,Models/CNN/model_CNN_22_10_15_23h10m13.h5,,,,,11,,0.01,12,,0.15818293392658234,0.04074106737971306
3,tanh,116,Models/CNN/model_CNN_22_10_15_23h14m15.h5,,,,,5,,0.001,10,,0.1576593518257141,0.040250010788440704
4,sigmoid,23,Models/CNN/model_CNN_22_10_15_23h19m15.h5,,,,,9,,0.01,9,,0.1577133685350418,0.03983233496546745
5,selu,116,Models/CNN/model_CNN_22_10_15_23h23m18.h5,,,,,9,,0.01,13,,0.16015136241912842,0.041655853390693665
6,tanh,32,Models/CNN/model_CNN_22_10_15_23h26m42.h5,,,,,11,,0.001,16,,0.15677349269390106,0.03941720724105835
7,tanh,30,Models/CNN/model_CNN_22_10_15_23h30m53.h5,,,,,13,,0.001,12,,0.15747351944446564,0.0400964729487896
8,softsign,17,Models/CNN/model_CNN_22_10_15_23h34m23.h5,,,,,7,,0.01,12,,0.16255983710289001,0.04328611120581627
9,softsign,105,Models/CNN/model_CNN_22_10_15_23h37m58.h5,,,,,1,,0.01,7,,0.15637418627738953,0.03990698605775833
