,activation,best_epoch,best_model_path,hp_unit_1,hp_unit_2,hp_unit_3,hp_unit_4,kernel_size_1,kernel_size_2,learning_rate,n_filter_1,n_filter_2,val_mae,val_mse
0,sigmoid,16,Models/LSTM/model_LSTM_22_10_15_22h56m15.h5,18,,,,,,0.01,,,0.1610526591539383,0.04159751906991005
1,tanh,10,Models/LSTM/model_LSTM_22_10_15_23h08m35.h5,55,,,,,,0.01,,,0.16360463201999664,0.04310387745499611
2,tanh,27,Models/LSTM/model_LSTM_22_10_15_23h21m36.h5,18,,,,,,0.01,,,0.16311058402061462,0.04266107454895973
3,tanh,14,Models/LSTM/model_LSTM_22_10_15_23h32m10.h5,43,,,,,,0.01,,,0.16565202176570892,0.0435677133500576
4,tanh,8,Models/LSTM/model_LSTM_22_10_15_23h43m14.h5,56,,,,,,0.01,,,0.1649089902639389,0.043183647096157074
5,softsign,17,Models/LSTM/model_LSTM_22_10_15_23h52m45.h5,29,,,,,,0.01,,,0.1596841812133789,0.0410306341946125
6,tanh,12,Models/LSTM/model_LSTM_22_10_16_00h01m23.h5,23,,,,,,0.01,,,0.16280435025691986,0.04301023855805397
7,softsign,11,Models/LSTM/model_LSTM_22_10_16_00h09m33.h5,18,,,,,,0.01,,,0.1629052460193634,0.042849015444517136
8,softsign,11,Models/LSTM/model_LSTM_22_10_16_00h17m53.h5,22,,,,,,0.01,,,0.16369546949863434,0.043003566563129425
9,tanh,11,Models/LSTM/model_LSTM_22_10_16_00h26m25.h5,33,,,,,,0.01,,,0.16311058402061462,0.04281246289610863
