,activation,best_epoch,best_model_path,hp_unit_1,hp_unit_2,hp_unit_3,hp_unit_4,kernel_size_1,kernel_size_2,learning_rate,n_filter_1,n_filter_2,val_mae,val_mse
0,softplus,301,Models/MLP/model_MLP_22_10_15_20h33m21.h5,,14,56,61,,,0.01,,,0.16030801832675934,0.041375014930963516
1,elu,88,Models/MLP/model_MLP_22_10_15_20h35m58.h5,,34,18,52,,,0.01,,,0.1647723764181137,0.042552415281534195
2,tanh,258,Models/MLP/model_MLP_22_10_15_20h39m13.h5,,29,63,63,,,0.001,,,0.15774859488010406,0.03996305912733078
3,softplus,480,Models/MLP/model_MLP_22_10_15_20h42m28.h5,,59,47,37,,,0.01,,,0.1575918346643448,0.040282320231199265
4,elu,412,Models/MLP/model_MLP_22_10_15_20h45m48.h5,,57,17,40,,,0.001,,,0.15851254761219025,0.040224745869636536
5,elu,101,Models/MLP/model_MLP_22_10_15_20h49m05.h5,,63,50,48,,,0.001,,,0.16036789119243622,0.04067292809486389
6,softsign,77,Models/MLP/model_MLP_22_10_15_20h51m53.h5,,53,21,18,,,0.001,,,0.16574352979660034,0.04458827152848244
7,softplus,103,Models/MLP/model_MLP_22_10_15_20h54m35.h5,,5,17,42,,,0.01,,,0.15616455674171448,0.03923261910676956
8,softplus,444,Models/MLP/model_MLP_22_10_15_20h57m21.h5,,53,24,60,,,0.01,,,0.1583680659532547,0.040099289268255234
9,relu,324,Models/MLP/model_MLP_22_10_15_21h00m08.h5,,11,20,22,,,0.01,,,0.1571805626153946,0.03926033526659012
