,path_model,MAPE,RMSE,model_type
0,model_CNN_22_10_15_20h34m52.h5,34.510677469118704,0.33439449079575845,CNN
1,model_CNN_22_10_15_20h37m53.h5,38.53912704628974,0.3583898281629827,CNN
2,model_CNN_22_10_15_20h41m00.h5,33.64609669938863,0.3098299277753139,CNN
3,model_CNN_22_10_15_20h43m58.h5,31.73400468331432,0.3280376706290407,CNN
4,model_CNN_22_10_15_20h47m05.h5,34.23869830829953,0.34873638665699047,CNN
5,model_CNN_22_10_15_20h50m03.h5,32.06072835448803,0.3245880393648734,CNN
6,model_CNN_22_10_15_20h52m37.h5,33.792002078791526,0.3262317395332448,CNN
7,model_CNN_22_10_15_20h55m13.h5,38.23601953682873,0.3929543379529103,CNN
8,model_CNN_22_10_15_20h57m45.h5,32.962833635758294,0.36415884589333813,CNN
9,model_CNN_22_10_15_21h00m16.h5,32.93275236984374,0.3373886272999237,CNN
