,path_model,MAPE,RMSE,model_type
0,model_LSTM_22_10_15_22h56m15.h5,30.79363732643965,0.36316147152150485,LSTM
1,model_LSTM_22_10_15_23h08m35.h5,28.90509328775755,0.33231705871724837,LSTM
2,model_LSTM_22_10_15_23h21m36.h5,31.60011254412313,0.34655070095608725,LSTM
3,model_LSTM_22_10_15_23h32m10.h5,29.72485816870353,0.32279604469808004,LSTM
4,model_LSTM_22_10_15_23h43m14.h5,34.55121408911759,0.33494123024988176,LSTM
5,model_LSTM_22_10_15_23h52m45.h5,31.600339235650527,0.3406812406690217,LSTM
6,model_LSTM_22_10_16_00h01m23.h5,34.28803293846307,0.3456651447125338,LSTM
7,model_LSTM_22_10_16_00h09m33.h5,28.342942481030665,0.34141845475708993,LSTM
8,model_LSTM_22_10_16_00h17m53.h5,28.0850850037534,0.33696535969915253,LSTM
9,model_LSTM_22_10_16_00h26m25.h5,27.98866541654098,0.3126187083762439,LSTM
