,path_model,MAPE,RMSE,model_type
0,model_MLP_22_10_15_20h33m21.h5,30,224411689790017,0.5017628050439406,MLP
1,model_MLP_22_10_15_20h35m58.h5,34,228380750607194,0.3697855166243638,MLP
2,model_MLP_22_10_15_20h39m13.h5,56,20513122081294,0.5823451168032757,MLP
3,model_MLP_22_10_15_20h42m28.h5,43,591824281587414,0.4845519882777866,MLP
4,model_MLP_22_10_15_20h45m48.h5,42,69294434121532,0.4617083386819185,MLP
5,model_MLP_22_10_15_20h49m05.h5,37,95313992376662,0.4583098337612408,MLP
6,model_MLP_22_10_15_20h51m53.h5,29,07704081852041,0.5148607919165733,MLP
7,model_MLP_22_10_15_20h54m35.h5,31,359055551962115,0.3702953942580552,MLP
8,model_MLP_22_10_15_20h57m21.h5,35,0336721799403,0.46208391272760113,MLP
9,model_MLP_22_10_15_21h00m08.h5,41,134361493849426,0.45126242128555677,MLP
