,path_model,MAPE,RMSE,model_type
0,model_MLP_22_12_01_21h45m20.h5,274.71,2.246355497865166,MLP
1,model_MLP_22_12_01_21h47m59.h5,225.42,2.1977128296466826,MLP
2,model_MLP_22_12_01_21h50m34.h5,151.52,2.1284671811518416,MLP
3,model_MLP_22_12_01_21h53m10.h5,152.49,2.08626188982578,MLP
4,model_MLP_22_12_01_21h55m20.h5,224.46,2.218577580938398,MLP
5,model_MLP_22_12_01_21h57m27.h5,140.26,2.079271059220835,MLP
6,model_MLP_22_12_01_21h59m35.h5,118.08,2.079460127187013,MLP
7,model_MLP_22_12_01_22h01m40.h5,124.86,2.0786123829062624,MLP
8,model_MLP_22_12_01_22h03m46.h5,123.49,2.0883272455831503,MLP
9,model_MLP_22_12_01_22h05m50.h5,311.7,2.4331584453890183,MLP
