,activation,best_epoch,best_model_path,hp_unit_1,hp_unit_2,hp_unit_3,hp_unit_4,kernel_size_1,kernel_size_2,learning_rate,n_filter_1,n_filter_2,val_mae,val_mse
0,exponential,1,Models/CNN/model_22_10_09_19h12m41.h5,59,25,37,8,1,,0.01,4,,,
1,elu,256,Models/CNN/model_22_10_09_19h13m37.h5,50,19,12,21,1,,0.01,4,,0.20802472531795502,0.07077524811029434
2,exponential,1,Models/CNN/model_22_10_09_19h14m28.h5,41,23,29,34,1,,0.0001,4,,,
3,elu,286,Models/CNN/model_22_10_09_19h15m13.h5,50,19,12,21,1,,0.01,4,,0.20890933275222778,0.07110803574323654
4,elu,318,Models/CNN/model_22_10_09_19h16m05.h5,50,19,12,21,1,,0.01,4,,0.208090141415596,0.06959829479455948
5,elu,263,Models/CNN/model_22_10_09_19h16m57.h5,50,19,12,21,1,,0.01,4,,0.20637209713459015,0.06918294727802277
6,elu,471,Models/CNN/model_22_10_09_19h17m52.h5,50,19,12,21,1,,0.01,4,,0.20742200314998627,0.07173530012369156
7,softsign,461,Models/CNN/model_22_10_09_19h18m47.h5,62,59,47,27,1,,0.0001,4,,0.22141389548778534,0.08094574511051178
8,exponential,1,Models/CNN/model_22_10_09_19h19m36.h5,59,25,37,8,1,,0.01,4,,,
9,elu,290,Models/CNN/model_22_10_09_19h20m24.h5,50,19,12,21,1,,0.01,4,,0.20921386778354645,0.07119280844926834
